,Address,Area,Baths,Beds,Price
1298,"3001 Veazey Ter Nw Apt 322, Washington, DC 20008","1,385 sqft",2,2,$475k
1299,"811 4th St Nw Unit 520, Washington, DC 20001",868 sqft,2,2,$584k
1300,"307 E St Ne, Washington, DC 20002","1,594 sqft",4,3,$955k
1301,"809 Otis Pl Nw Apt 203, Washington, DC 20010",600 sqft,1,1,$375k
1302,"235 56th St Ne, Washington, DC 20019",800 sqft,1.5,2,$330k
1303,"440 L St Nw Unit 405, Washington, DC 20001","1,298 sqft",2,2,$830k
1304,"2727 34th Pl Nw, Washington, DC 20007","8,300 sqft",6,6,$4.50m
1305,"922 24th St Nw Apt 415, Washington, DC 20037",499 sqft,1,N/A,$275k
1306,"1609 W Virginia Ave Ne, Washington, DC 20002","1,926 sqft",4,3,$765k
1307,"2412 17th St Nw Unit 104, Washington, DC 20009",867 sqft,1,2,$500k
1308,"777 7th St Nw Apt 926, Washington, DC 20001",994 sqft,2,2,$599k
1309,"1322 Wallach Pl Nw, Washington, DC 20009","1,509 sqft",2,3,$1.35m
1310,"1230 23rd St Nw Apt 818, Washington, DC 20037",638 sqft,1,1,$430k
1311,"3100 N St Nw Apt 2, Washington, DC 20007",700 sqft,1,1,$520k
1312,"4000 Cathedral Ave Nw Apt 642b, Washington, DC 20016",900 sqft,1,1,$300k
1313,"4767 Berkeley Ter Nw, Washington, DC 20007","3,400 sqft",4,5,$1.48m
1314,"1526 17th St Nw Apt 401, Washington, DC 20036",655 sqft,1,1,$337k
1315,"1328 22nd St Nw, Washington, DC 20037","1,894 sqft",4,3,$1.20m
1316,"430 Kenyon St Nw #2, Washington, DC 20010","1,796 sqft",4,3,$799k
1317,"430 Kenyon St Nw Unit 1, Washington, DC 20010","1,760 sqft",4,3,$739k
1318,"9 7th St Se, Washington, DC 20003","2,620 sqft",4,4,$1.40m
1319,"4327 3rd St Nw, Washington, DC 20011",0.04 acres,4,4,$889k
1320,"1312 13th St Nw, Washington, DC 20005",0.05 acres,N/A,N/A,$2.79m
1321,"2801 New Mexico Ave Nw Apt 504, Washington, DC 20007","1,560 sqft",2,1,$599k
1322,"447 New Jersey Ave Se, Washington, DC 20003","1,474 sqft",3.5,4,$1.35m
1323,"1212 M St Nw Apt 303, Washington, DC 20005",956 sqft,2,2,$625k
1324,"4000 Cathedral Ave Nw Apt 222b, Washington, DC 20016","1,000 sqft",1,1,$260k
1325,"2012 O St Nw Apt 13, Washington, DC 20036",818 sqft,1,1,$419k
1326,"326 I St Se, Washington, DC 20003","2,210 sqft",4,4,$1.25m
1327,"1852 3rd St Nw #a, Washington, DC 20001","1,549 sqft",2,2,$600k
1328,"3900 Tunlaw Rd Nw Apt 319, Washington, DC 20007",800 sqft,1,1,$210k
1329,"1937 Calvert St Nw Apt A, Washington, DC 20009","2,000 sqft",2,4,$974k
1330,"158 N Carolina Ave Se, Washington, DC 20003","1,490 sqft",2.5,3,$999k
1331,"2227 20th St Nw Apt 303, Washington, DC 20009",900 sqft,1,1,$450k
1332,"507 Roxboro Pl Nw, Washington, DC 20011","1,152 sqft",1.5,3,$485k
1333,"1320 Holbrook St Ne, Washington, DC 20002","1,260 sqft",3,4,$700k
1334,"36 Farragut Pl Nw, Washington, DC 20011","1,971 sqft",4,3,$749k
1335,"1520 O St Nw Apt 104, Washington, DC 20005",824 sqft,2,2,$775k
1336,"1101 L St Nw #207/210, Washington, DC 20005","1,066 sqft",2,2,$610k
1337,"737 6th St Se, Washington, DC 20003","4,512 sqft",4,4,$1.75m
1338,"1403 A St Se, Washington, DC 20003","2,030 sqft",3,3,$818k
1339,"3856 Porter St Nw Apt E371, Washington, DC 20016","1,293 sqft",1,3,$539k
1340,"18 O St Nw #18-b, Washington, DC 20001",800 sqft,1.5,2,$500k
1341,"1618 S St Nw Apt 3, Washington, DC 20009",585 sqft,1,1,$458k
1342,"1330 New Hampshire Ave Nw Apt 622, Washington, DC 20036",504 sqft,1,N/A,$320k
1343,"2515 K St Nw Apt 205, Washington, DC 20037",681 sqft,1,1,$330k
1344,"1118 C St Se, Washington, DC 20003","2,124 sqft",3,3,$1.19m
1345,"1350 Maryland Ave Ne Unit 410, Washington, DC 20002","1,013 sqft",2,2,$590k
1346,"249 Hawaii Ave Ne, Washington, DC 20011",0.05 acres,2,4,$456k
1347,"1124 10th St Nw Apt Ta, Washington, DC 20001","1,185 sqft",1.5,1,$720k
1348,"1240 18th St Ne Apt 1, Washington, DC 20002",677 sqft,1,2,$200k
1349,"133 7th St Se, Washington, DC 20003",0.07 acres,N/A,N/A,$5.00m
1350,"915 E St Nw Apt 1211, Washington, DC 20004",795 sqft,1,1,$465k
1351,"4907 Sheriff Rd Ne, Washington, DC 20019","1,370 sqft",2.5,3,$440k
1352,"601 Pennsylvania Ave Nw Apt 304, Washington, DC 20004",761 sqft,1,1,$475k
1353,"1353 Downing St Ne, Washington, DC 20018","1,081 sqft",3,3,$550k
1354,"2200 Prout St Se, Washington, DC 20020","2,464 sqft",N/A,N/A,$549k
1355,"4000 Cathedral Ave Nw Apt 412b, Washington, DC 20016","1,600 sqft",2,2,$635k
1356,"6319 7th St Nw, Washington, DC 20011","1,054 sqft",1,3,$275k
1357,"4522 Westhall Dr Nw, Washington, DC 20007","6,550 sqft",5,5,$3.00m
1358,"1314 28th St Nw, Washington, DC 20007","5,127 sqft",7,5,$5.65m
1359,"2605 31st St Nw, Washington, DC 20008","4,475 sqft",5.5,5,$3.75m
1360,"2515 17th St Nw Apt 02, Washington, DC 20009",633 sqft,1,1,$365k
1361,"422 Kenyon St Nw, Washington, DC 20010","1,296 sqft",1,3,$550k
1362,"5818 Field Pl Ne, Washington, DC 20019","1,610 sqft",1.5,5,$799k
1363,"2440 16th St Nw Apt 203, Washington, DC 20009",400 sqft,1,N/A,$224k
1364,"1320 Missouri Ave Nw Apt 101, Washington, DC 20011","1,022 sqft",2,3,$360k
1365,"509 S St Nw, Washington, DC 20001","1,400 sqft",3,2,$775k
1366,"915 French St Nw, Washington, DC 20001","3,250 sqft",5,5,$1.95m
1367,"811 4th St Nw Unit 615, Washington, DC 20001",720 sqft,1,1,$465k
1368,"1513 Meridian Pl Nw Apt 5, Washington, DC 20010",620 sqft,1,1,$330k
1369,"4204 18th St Nw, Washington, DC 20011","3,226 sqft",3.5,5,$1.19m
1370,"2030 F St Nw Apt 201, Washington, DC 20006",852 sqft,1,1,$473k
1371,"1221 Randolph St Nw #1, Washington, DC 20011","1,610 sqft",3,3,$789k
1372,"1480 Bangor St Se, Washington, DC 20020","1,536 sqft",3,4,$405k
1373,"3015 Adams St Ne, Washington, DC 20018","1,900 sqft",3,3,$515k
1374,"3481 Holmead Pl Nw, Washington, DC 20010","2,748 sqft",4,4,$1.10m
1375,"Park Pl Nw, Washington, DC 20010",0.06 acres,N/A,N/A,$275k
1376,"1747 Willard St Nw Apt 2, Washington, DC 20009","1,020 sqft",2,2,$705k
1377,"1166 Abbey Pl Ne #1, Washington, DC 20002","1,150 sqft",2.5,2,$700k
1378,"1427 Clifton St Nw Apt 4, Washington, DC 20009","1,300 sqft",2,2,$739k
1379,"1820 Clydesdale Pl Nw Apt 304, Washington, DC 20009",924 sqft,1,2,$434k
1380,"3429 Clay St Ne, Washington, DC 20019",832 sqft,1,2,$299k
1381,"1607 W Virginia Ave Ne, Washington, DC 20002","1,926 sqft",3,3,$685k
1382,"510 N St Sw Apt N519, Washington, DC 20024",N/A,1,N/A,$279k
1383,"1245 13th St Nw Apt 103, Washington, DC 20005",871 sqft,2,2,$470k
1384,"1603 Isherwood St Ne, Washington, DC 20002",0.07 acres,N/A,N/A,$759k
1385,"1529 Monroe St Nw, Washington, DC 20010",0.03 acres,3,4,$950k
1386,"1000 New Jersey Ave Se Apt 214, Washington, DC 20003","1,027 sqft",2,2,$565k
1387,"4615 Foxhall Cres Nw, Washington, DC 20007","3,542 sqft",5,5,$1.48m
1388,"1852 Kalorama Rd Nw, Washington, DC 20009","5,317 sqft",6,7,$2.20m
1389,"215 5th St Ne, Washington, DC 20002","3,243 sqft",5,6,$1.94m
1390,"1321 Monroe St Nw #a, Washington, DC 20010","1,920 sqft",3,3,$849k
1391,"2421 18th St Nw Apt 302, Washington, DC 20009","1,110 sqft",2,2,$699k
1392,"402 N St Nw, Washington, DC 20001","1,836 sqft",2,3,$750k
1393,"1117 10th St Nw Apt W7, Washington, DC 20001","1,519 sqft",2,2,$835k
1394,"616 E St Nw Apt 256, Washington, DC 20004","1,382 sqft",3,3,$865k
1395,"2853 Ontario Rd Nw Apt 220, Washington, DC 20009",600 sqft,1,1,$399k
1396,"5112 Connecticut Ave Nw Apt 207, Washington, DC 20008",800 sqft,1,2,$360k
1397,"3620 T St Nw, Washington, DC 20007","1,640 sqft",2,3,$995k
1398,"123 36th St Ne, Washington, DC 20019",0.04 acres,2,3,$419k
1399,"5620 2nd Pl Nw, Washington, DC 20011","1,140 sqft",2,3,$495k
1400,"1391 Pennsylvania Ave Se Unit 301, Washington, DC 20003","1,518 sqft",2,3,$815k
1401,"919 Florida Ave Nw Apt 801, Washington, DC 20001","1,340 sqft",3,2,$799k
1402,"136 35th St Ne, Washington, DC 20019",916 sqft,1,2,$325k
1403,"2310 Tracy Pl Nw, Washington, DC 20008","5,286 sqft",5.5,4,$5.30m
1404,"2918 W St Se, Washington, DC 20020","2,424 sqft",2.5,3,$485k
1405,"19 4th St R Ne St Ne, Washington, DC 20002","1,177 sqft",N/A,N/A,$595k
1406,"4429 Iowa Ave Nw, Washington, DC 20011","1,094 sqft",1.5,3,$550k
1407,"2125 14th St Nw Apt 311w, Washington, DC 20009","1,418 sqft",3,2,$1.15m
1408,"2126 Connecticut Ave Nw #51, Washington, DC 20008","1,550 sqft",2,1,$1.30m
1409,"1623 Montague St Nw, Washington, DC 20011","3,300 sqft",3,4,$950k
1410,"2132 32nd Pl Se, Washington, DC 20020","3,151 sqft",4,5,$635k
1411,"4519 New Hampshire Ave Nw, Washington, DC 20011","1,577 sqft",2,3,$575k
1412,"1099 22nd St Nw Apt 604, Washington, DC 20037","1,358 sqft",3,2,$799k
1413,"330 Rhode Island Ave Ne Apt 304, Washington, DC 20002",514 sqft,1,1,$280k
1414,"54 Nicholson St Nw, Washington, DC 20011","1,629 sqft",3,3,$649k
1415,"23 Bates St Nw #1, Washington, DC 20001",950 sqft,2,2,$484k
1416,"4608 Rockwood Pkwy Nw, Washington, DC 20016",0.25 acres,8,6,$3.00m
1417,"4523 7th St Ne, Washington, DC 20017","1,408 sqft",2.5,4,$500k
1418,"4521 C St Se, Washington, DC 20019",768 sqft,1.5,3,$305k
1419,"516 A St Ne Apt 203, Washington, DC 20002",700 sqft,1,1,$388k
1420,"1117 10th St Nw Apt 1013, Washington, DC 20001",773 sqft,1,1,$515k
1421,"1301 20th St Nw Apt 310, Washington, DC 20036",675 sqft,1,1,$340k
1422,"1341 1st St Nw, Washington, DC 20001","1,312 sqft",2,3,$649k
1423,"1455 Girard St Nw, Washington, DC 20009","2,634 sqft",3,6,$1.85m
1424,"1767 Lang Pl Ne, Washington, DC 20002","1,536 sqft",2,3,$600k
1425,"207 Underwood St Nw, Washington, DC 20012","1,169 sqft",1,3,$645k
1426,"1015 33rd St Nw Apt 508, Washington, DC 20007","1,497 sqft",2,2,$859k
1427,"4201 Cathedral Ave Nw Apt 614e, Washington, DC 20016","1,825 sqft",2,3,$669k
1428,"2939 Van Ness St Nw Apt 608, Washington, DC 20008",751 sqft,1,1,$280k
1429,"4522 Foxhall Cres Nw, Washington, DC 20007","4,793 sqft",5,4,$1.90m
1430,"4632 Hillside Rd Se, Washington, DC 20019","1,500 sqft",N/A,N/A,$425k
1431,"4520 Foxhall Cres Nw, Washington, DC 20007","4,433 sqft",5,4,$2.10m
1432,"1226 Orren St Ne, Washington, DC 20002","1,732 sqft",2.5,4,$815k
1433,"1600 23rd St Se, Washington, DC 20020","2,350 sqft",2,4,$599k
1434,"1727 Massachusetts Ave Nw #201, Washington, DC 20036",415 sqft,1,N/A,$245k
1435,"2920 Cortland Pl Nw, Washington, DC 20008","3,650 sqft",5,5,$1.75m
1436,"1727 16th St Se, Washington, DC 20020",0.06 acres,2,4,$500k
1437,"3602 Rock Creek Church Rd Nw Apt 5, Washington, DC 20010",515 sqft,1,1,$348k
1438,"221 Gallatin St Nw, Washington, DC 20011",0.06 acres,4,4,$795k
1439,"1735 Johnson Ave Nw Apt F, Washington, DC 20009",982 sqft,2,2,$790k
1440,"7441 9th St Nw, Washington, DC 20012",0.07 acres,3,3,$500k
1441,"2230 Massachusetts Ave Nw, Washington, DC 20008","7,964 sqft",6,10,$8.00m
1442,"1335 Spring Rd Nw, Washington, DC 20010","1,536 sqft",2,3,$925k
1443,"4430 Kane Pl Ne, Washington, DC 20019","1,496 sqft",1,4,$300k
1444,"738 Longfellow St Nw Apt 211, Washington, DC 20011",825 sqft,1,2,$295k
1445,"200 Tuckerman St Nw, Washington, DC 20011","2,368 sqft",3.5,4,$799k
1446,"1324 Holbrook St Ne, Washington, DC 20002","1,890 sqft",3.5,4,$760k
1447,"350 G St Sw Apt N426, Washington, DC 20024",486 sqft,1,N/A,$270k
1448,"4000 Cathedral Ave Nw Apt 624b, Washington, DC 20016",920 sqft,1,1,$325k
1449,"1099 22nd St Nw Apt 102, Washington, DC 20037","1,322 sqft",2,2,$699k
1450,"1801 Clydesdale Pl Nw Apt 217, Washington, DC 20009",474 sqft,1,N/A,$175k
1451,"2125 14th St Nw Apt 212w, Washington, DC 20009",819 sqft,1,1,$253k
1452,"2441 Elvans Rd Se, Washington, DC 20020","3,335 sqft",3,5,$750k
1453,"302 Burbank St Se, Washington, DC 20019",0.05 acres,2,3,$400k
1454,"4286 Massachusetts Ave Nw, Washington, DC 20016","2,718 sqft",3,3,$1.09m
1455,"1325 18th St Nw Suite 207, Washington, DC 20036",721 sqft,1,1,$470k
1456,"1776 Lyman Pl Ne, Washington, DC 20002","1,500 sqft",2,4,$630k
1457,"4101 Albemarle St Nw Apt 352, Washington, DC 20016",835 sqft,1,1,$580k
1458,"4526 Westhall Drive Nw, Washington, DC 20007","4,271 sqft",5,4,$1.80m
1459,"1815 18th St Nw Apt 103, Washington, DC 20009",935 sqft,2,2,$559k
1460,"1301 20th St Nw Apt 413, Washington, DC 20036",674 sqft,1,1,$394k
1461,"2624 Minnesota Ave Se, Washington, DC 20020","1,394 sqft",2.5,3,$525k
1462,"3827 Halley Ter Se, Washington, DC 20032",761 sqft,N/A,2,$175k
1463,"1026 16th St Nw Apt 501, Washington, DC 20036","1,650 sqft",2,2,$999k
1464,"5315 Connecticut Ave Nw Apt 603, Washington, DC 20015",674 sqft,1,1,$270k
1465,"5145 Tilden St Nw, Washington, DC 20016","5,615 sqft",5.5,5,$3.79m
1466,"2500 Q St Nw Apt 412, Washington, DC 20007","1,014 sqft",1,1,$449k
1467,"3701 Connecticut Ave Nw Apt 422, Washington, DC 20008",638 sqft,1,1,$270k
1468,"2022 Yorktown Rd Nw, Washington, DC 20012","3,551 sqft",6,5,$1.25m
1469,"2518 13th St Nw Apt 2, Washington, DC 20009",947 sqft,1,2,$500k
1470,"33 Kennedy St Nw Apt 103, Washington, DC 20011",904 sqft,1,2,$339k
1471,"920 N St Nw, Washington, DC 20001",0.05 acres,N/A,N/A,$1.35m
1472,"4201 Cathedral Ave Nw Apt 910e, Washington, DC 20016",889 sqft,1,1,$317k
1473,"730 Crittenden St Ne, Washington, DC 20017","1,088 sqft",3,3,$580k
1474,"2005 Lawrence St Ne, Washington, DC 20018","1,880 sqft",3,4,$725k
1475,"2851 Chesterfield Pl Nw, Washington, DC 20008","7,260 sqft",6,5,$2.50m
1476,"2850 27th St Nw, Washington, DC 20008","5,500 sqft",12,12,$3.60m
1477,"3610 39th St Nw Apt B542, Washington, DC 20016","1,273 sqft",2,2,$489k
1478,"228 R St Ne, Washington, DC 20002","1,980 sqft",2,4,$690k
1479,"4130 4th St Se #101, Washington, DC 20032",700 sqft,1,2,$135k
1480,"4130 4th St Se #102, Washington, DC 20032",705 sqft,1,1,$125k
1481,"1524 18th St Nw Apt 1, Washington, DC 20036",595 sqft,1,1,$500k
1482,"1524 18th St Nw Apt 4, Washington, DC 20036",680 sqft,2,2,$650k
1483,"1524 18th St Nw #6, Washington, DC 20036",999 sqft,2,2,$930k
1484,"645 Brandywine St Se, Washington, DC 20032","1,474 sqft",2,4,$370k
1485,"3042 Clinton St Ne, Washington, DC 20018","2,215 sqft",1,3,$519k
1486,"1325 13th St Nw Apt 24, Washington, DC 20005","1,599 sqft",3,3,$949k
1487,"4920 Jay St Ne, Washington, DC 20019","1,102 sqft",1,2,$165k
1488,"2031 2nd St Ne, Washington, DC 20002","1,088 sqft",2,3,$599k
1489,"918 N Carolina Ave Se, Washington, DC 20003","2,277 sqft",4,3,$1.15m
1490,"716 718 Jackson St Ne #3, Washington, DC 20017",N/A,2,2,$569k
1491,"400 Massachusetts Ave Nw Apt 316, Washington, DC 20001",966 sqft,1,2,$549k
1492,"3009 Yost Pl Ne, Washington, DC 20018",854 sqft,3,4,$550k
1493,"3024 Tilden St Nw Apt 304c, Washington, DC 20008",813 sqft,1,1,$380k
1494,"4716 Blagden Ter Nw, Washington, DC 20011","5,411 sqft",6,5,$1.60m
1495,"616 E St Nw Apt 653, Washington, DC 20004","1,205 sqft",3,2,$655k
1496,"1301 Delaware Ave Sw Apt N615, Washington, DC 20024",550 sqft,1,N/A,$142k
1497,"1753 Verbena St Nw, Washington, DC 20012","4,530 sqft",3,4,$900k
1498,"3817 Davis Pl Nw Apt 5, Washington, DC 20007",533 sqft,1,1,$289k
1499,"4343 Harrison St Nw #6, Washington, DC 20015",900 sqft,2,2,$599k
1500,"1245 4th St Sw Apt E403, Washington, DC 20024",836 sqft,1,1,$425k
1501,"1209 Staples St Ne, Washington, DC 20002","2,550 sqft",4,4,$850k
1502,"5611 5th St Nw Apt 15, Washington, DC 20011",622 sqft,1,1,$275k
1503,"317 Taylor St Nw, Washington, DC 20011","1,610 sqft",1.5,3,$729k
1504,"1209 Florida Ave Ne, Washington, DC 20002",800 sqft,1,2,$575k
1505,"2211 14th St Ne, Washington, DC 20018","1,884 sqft",N/A,N/A,$700k
1506,"1317 35th St Nw, Washington, DC 20007","2,200 sqft",3,3,$1.87m
1507,"2750 14th St Nw Apt 203, Washington, DC 20009","1,318 sqft",2,3,$650k
1508,"4514 Connecticut Ave Nw Apt C, Washington, DC 20008",N/A,1,1,$425k
1509,"2301 N St Nw Apt 115, Washington, DC 20037",955 sqft,2,2,$700k
1510,"2013 N St Nw, Washington, DC 20036","2,285 sqft",3,4,$1.60m
1511,"5520 C St Se, Washington, DC 20019","1,040 sqft",3,3,$390k
1512,"1313 Orren St Ne, Washington, DC 20002","3,144 sqft",N/A,N/A,$800k
1513,"4013 8th St Ne Apt 4, Washington, DC 20017",800 sqft,1,2,$340k
1514,"1330 New Hampshire Ave Nw Apt 924, Washington, DC 20036",504 sqft,1,N/A,$335k
1515,"4201 Cathedral Ave Nw Apt 1223e, Washington, DC 20016","1,229 sqft",2,2,$449k
1516,"4013 8th St Ne Apt 1, Washington, DC 20017","1,017 sqft",1,2,$380k
1517,"330 16th St Se #1, Washington, DC 20003","1,523 sqft",3,2,$725k
1518,"1286 Morse St Ne, Washington, DC 20002","3,550 sqft",7,6,$1.78m
1519,"437 New York Ave Nw Apt 1103, Washington, DC 20001",693 sqft,1,1,$479k
1520,"682 Nicholson St Ne, Washington, DC 20011","1,118 sqft",2.5,4,$540k
1521,"1675 31st St Nw, Washington, DC 20007","7,350 sqft",6,5,$5.40m
1522,"5414 9th St Nw, Washington, DC 20011","1,330 sqft",3,3,$635k
1523,"1708 9th St Nw Apt C, Washington, DC 20001","1,066 sqft",1,2,$575k
1524,"1916 4th St Ne Apt 1, Washington, DC 20002",954 sqft,2,2,$450k
1525,"114 46th Pl Ne, Washington, DC 20019","1,216 sqft",2,3,$300k
1526,"2384 Champlain St Nw, Washington, DC 20009","7,348 sqft",N/A,N/A,$6.50m
1527,"4427 5th St Nw, Washington, DC 20011","1,116 sqft",2,3,$485k
1528,"6619 6th St Nw, Washington, DC 20012","3,878 sqft",6,6,$1.23m
1529,"417 57th St Ne, Washington, DC 20019","1,235 sqft",3,4,$369k
1530,"Ridge Rd Se, Washington, DC 20019",0.13 acres,N/A,N/A,$85k
1531,"5149 8th St Ne, Washington, DC 20011","1,269 sqft",3.5,4,$620k
1532,"2138 California St Nw Apt 411, Washington, DC 20008","3,065 sqft",4,4,$1.79m
1533,"3051 Idaho Ave Nw Apt 400, Washington, DC 20016",785 sqft,1,1,$290k
1534,"418 57th St Ne, Washington, DC 20019",0.04 acres,2,2,$334k
1535,"2609 Douglass Rd Se Apt 201, Washington, DC 20020","1,281 sqft",2,3,$299k
1536,"5403 9th St Nw Apt 205, Washington, DC 20011",634 sqft,1,1,$300k
1537,"1603 Monroe St Ne, Washington, DC 20018",988 sqft,2,2,$650k
1538,"4600 Connecticut Ave Nw Apt 210, Washington, DC 20008","1,101 sqft",2,3,$465k
1539,"940 25th St Nw Apt 107s, Washington, DC 20037",450 sqft,1,N/A,$189k
1540,"1720 Franklin St Ne, Washington, DC 20018","1,283 sqft",2,4,$459k
1541,"1011 Evarts St Ne, Washington, DC 20018","1,608 sqft",2,6,$550k
1542,"2904 Carlton Ave Ne, Washington, DC 20018","2,368 sqft",3.5,5,$799k
1543,"4287 S Capitol St Sw, Washington, DC 20032","1,152 sqft",4,2,$280k
1544,"22 52nd St Se, Washington, DC 20019","1,176 sqft",2,4,$418k
1545,"109 18th St Se, Washington, DC 20003","1,705 sqft",4,3,$740k
1546,"2725 30th St Ne, Washington, DC 20018","2,850 sqft",4,4,$859k
1547,"5245 Chillum Pl Ne, Washington, DC 20011","1,156 sqft",2,3,$430k
1548,"235 Emerson St Nw Apt 101, Washington, DC 20011",700 sqft,1,1,$225k
1549,"1725 Trinidad Ave Ne Apt 2, Washington, DC 20002",800 sqft,2,2,$375k
1550,"809 6th St Nw Apt 43, Washington, DC 20001",597 sqft,1,1,$449k
1551,"2978 2nd St Se, Washington, DC 20032","1,520 sqft",2.5,4,$300k
1552,"4301 Massachusetts Ave Nw Apt 1010, Washington, DC 20016",786 sqft,1,1,$315k
1553,"23 Q St Ne, Washington, DC 20002","2,272 sqft",3.5,4,$995k
1554,"3401 3420 38th St Nw #221, Washington, DC 20016",850 sqft,2,2,$470k
1555,"1523 Park Rd Nw Apt 102, Washington, DC 20010","1,261 sqft",3,3,$600k
1556,"1816 New Hampshire Ave Nw Apt 702, Washington, DC 20009",336 sqft,1,N/A,$249k
1557,"2500 Q St Nw Apt 207, Washington, DC 20007",700 sqft,1,1,$375k
1558,"1716 L St Ne, Washington, DC 20002",840 sqft,1,2,$405k
1559,"1620 32nd St Nw, Washington, DC 20007",845 sqft,1,2,$900k
1560,"520 N St Sw Apt S416, Washington, DC 20024",720 sqft,1,1,$320k
1561,"821 W Virginia Ave Ne, Washington, DC 20002","1,008 sqft",1,2,$599k
1562,"342 13th St Ne, Washington, DC 20002","2,200 sqft",1,1,$899k
1563,"53 Nicholson St Nw, Washington, DC 20011","2,400 sqft",4,5,$765k
1564,"4101 Albemarle St Nw Apt 439, Washington, DC 20016",733 sqft,1,1,$439k
1565,"2328 Champlain St Nw Apt 312, Washington, DC 20009",880 sqft,2,2,$690k
1566,"240 M St Sw #e111, Washington, DC 20024",548 sqft,1,1,$295k
1567,"1375 Maryland Ave Ne Apt F, Washington, DC 20002","1,000 sqft",1,1,$599k
1568,"1375 Maryland Ave Ne Apt A, Washington, DC 20002","1,100 sqft",1,1,$569k
1569,"1140 23rd St Nw Apt 307, Washington, DC 20037",731 sqft,1,1,$400k
1570,"1816 Varnum St Ne, Washington, DC 20018","2,600 sqft",4,4,$859k
1571,"1750 Harvard St Nw Apt 3a, Washington, DC 20009",820 sqft,2,2,$505k
1572,"1501 38th St Se, Washington, DC 20020","1,586 sqft",3,4,$560k
1573,"515 10th St Se, Washington, DC 20003","1,746 sqft",2,3,$1.00m
1574,"727 6th St Ne, Washington, DC 20002","2,836 sqft",5.5,5,$1.62m
1575,"700 New Hampshire Ave Nw #101, Washington, DC 20037","2,295 sqft",4,3,$1.30m
1576,"1534 A St Ne, Washington, DC 20002","2,150 sqft",4,4,$900k
1577,"1301 20th St Nw Apt 111, Washington, DC 20036",830 sqft,2,2,$475k
1578,"522 Buchanan St Nw, Washington, DC 20011","2,106 sqft",3,4,$648k
1579,"2915 13th St Ne, Washington, DC 20017","1,140 sqft",3,3,$650k
1580,"5232 N Capitol St Nw Apt 206, Washington, DC 20011",600 sqft,1,1,$195k
1581,"809 49th St Ne, Washington, DC 20019","2,700 sqft",3.5,4,$619k
1582,"1116 C St Ne Apt 101, Washington, DC 20002",742 sqft,1,2,$525k
1583,"1414 E St Se, Washington, DC 20003","1,608 sqft",2,3,$975k
1584,"1329 Q St Nw, Washington, DC 20009",0.05 acres,3,7,$1.50m
1585,"2510 Virginia Ave Nw #2d-n, Washington, DC 20037",780 sqft,1,1,$369k
1586,"4201 Cathedral Ave Nw Apt 603e, Washington, DC 20016",963 sqft,1,1,$320k
1587,"1260 21st St Nw Apt 510, Washington, DC 20036",425 sqft,1,N/A,$260k
1588,"1130 Morse St Ne, Washington, DC 20002","1,824 sqft",4,4,$800k
1589,"302 Maryland Ave Ne, Washington, DC 20002","1,903 sqft",3,3,$985k
1590,"2804 Battery Pl Nw, Washington, DC 20016","3,016 sqft",4,5,$996k
1591,"4570 Macarthur Blvd Nw Apt T2, Washington, DC 20007",400 sqft,1,N/A,$185k
1592,"3823 Fessenden St Nw, Washington, DC 20016","2,210 sqft",4,6,$1.25m
1593,"244 60th St Ne Apt 303, Washington, DC 20019",690 sqft,1,1,$140k
1594,"229 Atlantic St Se, Washington, DC 20032","1,392 sqft",1,2,$270k
1595,"103 Brandywine Pl Sw, Washington, DC 20032","1,312 sqft",2,3,$370k
1596,"5801 32nd St Nw, Washington, DC 20015","4,350 sqft",5,5,$2.09m
1597,"833 Marjorie Ct Se, Washington, DC 20032",0.03 acres,4,3,$295k
1598,"39003902 14th St Nw #703, Washington, DC 20011",976 sqft,1,2,$425k
1599,"162 Concord Pl Ne, Washington, DC 20011","1,384 sqft",3.5,3,$675k
1600,"6109 7th Pl Nw, Washington, DC 20011","1,338 sqft",2,3,$504k
1601,"1008 18th St Ne, Washington, DC 20002","1,684 sqft",2,2,$399k
1602,"1 Scott Cir Nw #102, Washington, DC 20036",589 sqft,1,1,$249k
1603,"2214 15th St Ne, Washington, DC 20018","1,184 sqft",2,3,$470k
1604,"1905 Otis St Ne, Washington, DC 20018","1,664 sqft",2,3,$475k
1605,"2014 Newton St Ne, Washington, DC 20018","1,634 sqft",2,4,$599k
1606,"700 New Hampshire Ave Nw #712, Washington, DC 20037",932 sqft,1,1,$549k
1607,"6121 3rd St Ne, Washington, DC 20011","1,700 sqft",4,3,$440k
1608,"1745 Buchanan St Ne, Washington, DC 20017","1,400 sqft",3,3,$617k
1609,"1150 K St Nw Apt 808, Washington, DC 20005",902 sqft,2,2,$590k
1610,"555 Massachusetts Ave Nw Apt 418, Washington, DC 20001",979 sqft,2,2,$625k
1611,"3803 S St Nw, Washington, DC 20007","3,650 sqft",5,6,$2.00m
1612,"120 33rd St Ne, Washington, DC 20019","1,248 sqft",2,2,$419k
1613,"2425 L St Nw Apt 621, Washington, DC 20037",850 sqft,1,1,$699k
1614,"1745 L St Ne, Washington, DC 20002",840 sqft,1,2,$399k
1615,"4201 Cathedral Ave Nw Apt 1015e, Washington, DC 20016","1,860 sqft",2,3,$699k
1616,"925 H St Nw Apt 712, Washington, DC 20001","1,592 sqft",2.5,2,$1.50m
