,Address,Area,Baths,Beds,Price
271,"533 9th St Ne, Washington, DC 20002",0.01 acres,2,2,$630k
272,"1510 N Capitol St Nw #203, Washington, DC 20002",N/A,1,1,$369k
273,"432 Warner St Nw, Washington, DC 20001","1,860 sqft",3,3,$850k
274,"848 Burns St Se, Washington, DC 20019",0.13 acres,2,3,$350k
275,"5021 Hanna Pl Se, Washington, DC 20019",0.06 acres,2,3,$380k
276,"1524 Independence Ave Se Apt 302, Washington, DC 20003","1,075 sqft",2,2,$450k
277,"1619 H St Se, Washington, DC 20003","1,800 sqft",3,4,$865k
278,"940 25th St Nw Apt 401s, Washington, DC 20037",445 sqft,1,N/A,$179k
279,"118 10th St Ne, Washington, DC 20002",0.03 acres,4,4,$1.25m
280,"1601 Hobart St Nw #3, Washington, DC 20009",705 sqft,1,2,$575k
281,"4214 50th St Nw, Washington, DC 20016","3,939 sqft",5,4,$1.60m
282,"6705 13th Pl Nw, Washington, DC 20012","2,043 sqft",3,3,$765k
283,"1211 13th St Nw Apt 605, Washington, DC 20005",634 sqft,1,1,$435k
284,"1337 Kennedy St Nw, Washington, DC 20011","1,900 sqft",2,3,$495k
285,"1224 4th St Nw Apt 2, Washington, DC 20001","1,307 sqft",3,2,$799k
286,"1106 46th St Ne, Washington, DC 20019","1,512 sqft",5,5,$399k
287,"1416 35th St Nw, Washington, DC 20007","1,608 sqft",2,3,$1.47m
288,"1111 23rd St Nw Apt Ph2b, Washington, DC 20037","3,200 sqft",4,3,$3.70m
289,"4436 Q St Nw, Washington, DC 20007","2,759 sqft",4,4,$1.35m
290,"2401 H St Nw Apt 212, Washington, DC 20037",628 sqft,1,1,$325k
291,"309 34th Pl Ne, Washington, DC 20019",0.03 acres,2,3,$400k
292,"555 Massachusetts Ave Nw Apt 403, Washington, DC 20001",929 sqft,2,2,$659k
293,"1221 Ingraham St Nw, Washington, DC 20011","1,943 sqft",4,4,$709k
294,"2510 Ontario Rd Nw Apt 1, Washington, DC 20009","1,095 sqft",2,2,$579k
295,"1414 22nd St Nw Apt 8, Washington, DC 20037","1,231 sqft",2,2,$685k
296,"3523 S St Nw, Washington, DC 20007","1,386 sqft",3,4,$1.05m
297,"4457 B St Se, Washington, DC 20019",850 sqft,N/A,N/A,$730k
298,"1001 L St Nw Apt 905, Washington, DC 20001",954 sqft,2,2,$650k
299,"1008 Park Rd Nw, Washington, DC 20010","3,192 sqft",4,7,$1.28m
300,"3467 Holmead Pl Nw #2, Washington, DC 20010","1,556 sqft",2,2,$725k
301,"4930 Nannie Helen Burroughs Ave Ne, Washington, DC 20019",360 sqft,0.5,1,$135k
302,"2200 17th St Nw #g-41, Washington, DC 20009",1 sqft,N/A,N/A,$50k
303,"2732 Knox Ter Se, Washington, DC 20020","1,800 sqft",4,4,$325k
304,"1425 11th St Nw Apt 304, Washington, DC 20001","1,133 sqft",2,2,$695k
305,"4000 Cathedral Ave Nw Apt 311b, Washington, DC 20016","1,430 sqft",1,2,$575k
306,"1706 A St Se, Washington, DC 20003",970 sqft,2,2,$599k
307,"2011 Perry St Ne, Washington, DC 20018",968 sqft,2,2,$447k
308,"1759 T St Nw Apt G, Washington, DC 20009",650 sqft,1,1,$359k
309,"3900 Tunlaw Rd Nw Apt 404, Washington, DC 20007","1,250 sqft",1,2,$259k
310,"2637 4th St Ne, Washington, DC 20002",0.13 acres,1,3,$1.60m
311,"3211 Foxhall Rd Nw, Washington, DC 20016","5,625 sqft",6,5,$2.85m
312,"1155 23rd St Nw Apt 8g, Washington, DC 20037","1,062 sqft",2,1,$859k
313,"3612 Massachusetts Ave Nw, Washington, DC 20007","3,800 sqft",4,4,$1.65m
314,"1730 16th St Nw Apt 11, Washington, DC 20009",N/A,2,2,$500k
315,"4629 6th St Se, Washington, DC 20032","1,224 sqft",3,4,$365k
316,"1010 Massachusetts Ave Nw Unit 504, Washington, DC 20001","1,505 sqft",2,2,$925k
317,"1277 Penn St Ne, Washington, DC 20002",980 sqft,3,3,$615k
318,"1508 Spring Pl Nw, Washington, DC 20010",0.03 acres,1,3,$596k
319,"333 E St Ne, Washington, DC 20002","2,436 sqft",3,5,$1.15m
320,"1954 Columbia Rd Nw Apt 109, Washington, DC 20009",310 sqft,1,N/A,$200k
321,"4119 Military Rd Nw, Washington, DC 20015",0.1 acres,3,4,$1.05m
322,"800 49th St Ne, Washington, DC 20019","1,048 sqft",2,3,$320k
323,"1352 Randolph St Nw #3, Washington, DC 20011","1,718 sqft",3,3,$879k
324,"3342 Baker St Ne, Washington, DC 20019","1,144 sqft",1,2,$275k
325,"810 Rhode Island Ave Nw, Washington, DC 20001",0.02 acres,2,2,$850k
326,"246 Malcolm X Ave Se, Washington, DC 20032",0.1 acres,N/A,N/A,$475k
